Supplier_Name,Total_Volume_Supplied,Avg_Volume_Per_SKU_Record,Catalog_SKU_Breadth,Mean_Logistical_Friction,Global_Supply_Contribution_%
E & J GALLO WINERY,12169.75,13.55206013363029,454,0.899836853049929,6.87
ANHEUSER BUSCH INC,8485.4675,15.261632194244605,258,0.5428224961953432,4.79
CONSTELLATION BRANDS,7633.296249999999,11.927025390625,277,0.9126959530504658,4.31
"THE COUNTRY VINTNER, LLC DBA WINEBOW",7353.745,3.552533816425121,1097,0.22704271548408597,4.15
LEGENDS LTD,6862.52625,5.592930929095354,761,0.18991206497493698,3.88
SOUTHERN GLAZERS WINE AND SPIRITS,5737.48125,4.39990893404908,647,0.8697099897644103,3.24
REPUBLIC NATIONAL DISTRIBUTING CO,5685.43375,3.1034027019650656,989,0.5999572386384808,3.21
DIAGEO NORTH AMERICA INC,4987.985,7.534720543806646,310,0.8651811395230277,2.82
MILLER BREWING COMPANY,4984.28,16.288496732026143,144,0.45157969870455883,2.81
THE WINE GROUP,4481.195,12.658742937853107,165,0.825420309376939,2.53
BOSTON BEER CORPORATION,3717.69875,14.40968507751938,134,0.7563906184596184,2.1
JIM BEAM BRANDS CO,2919.2075,5.528802083333333,243,0.9916260101977696,1.65
TREASURY WINE ESTATES AMERICAS COMPANY,2875.4325,9.396838235294117,151,0.9561955498428005,1.62
MONSIEUR TOUTON SELECTION,2818.985,2.492471264367816,642,0.2512000295543743,1.59
SUTTER HOME WINERY INC,2805.94625,12.2530403930131,100,0.8173178872956618,1.58
DEUTSCH FAMILY WINE & SPIRITS,2570.32625,11.273360745614035,100,0.8501267462105905,1.45
RELIABLE CHURCHILL LLLP,2485.80875,3.4573139777468707,357,0.7471725477907578,1.4
SAZERAC CO,2478.2925,5.099367283950618,251,0.9623386713718376,1.4
PERNOD RICARD USA LLC,2452.70375,5.574326704545455,196,0.9379902391786576,1.39
CROWN IMPORTS,2427.10625,17.978564814814813,61,0.8254105831127936,1.37
HEINEKEN USA,2311.53125,18.641381048387096,55,0.702134169736666,1.31
CONSTANTINE WINES INC,2298.06375,4.444997582205029,282,0.25449244809109384,1.3
BACCHUS IMPORTERS LTD,2211.83875,2.9373688579017263,389,0.569983499606444,1.25
JACKSON FAMILY ENTERPRISES INC,2081.98375,14.16315476190476,64,0.9194914917488393,1.18
DELICATO FAMILY VINEYARDS,2048.37,12.8023125,68,0.9601679773444907,1.16
BACARDI USA INC,1938.485,6.3976402640264025,143,1.0194607006155196,1.09
BUCK DISTRIBUTING COMPANY INC,1920.825,9.369878048780489,140,0.5712809571467441,1.08
FLYING DOG BREWERY LLLP,1699.7949999999998,11.97038732394366,78,0.5749789251878062,0.96
HEAVEN HILL DISTILLERIES INC,1620.76375,6.093096804511278,123,1.0387362394683157,0.92
OPICI FAMILY DISTRIBUTING OF MD,1603.20375,3.13125732421875,290,0.3206715441371629,0.91
PWSWN INC,1540.4475,4.140987903225806,191,0.13517827326475246,0.87
BROWN-FORMAN BEVERAGES WORLDWIDE,1530.36375,7.117970930232558,110,0.7504326220000366,0.86
KYSELA PERE ET FILS LTD,1528.08,4.52094674556213,179,0.4006514108047136,0.86
ROYAL WINE CORP,1472.4,2.9098814229249013,295,0.23881938632813068,0.83
FETZER VINEYARDS,1282.53,14.093736263736263,43,0.8858027546024267,0.72
ELITE WINES IMPORTS,1279.0925,3.49478825136612,192,0.16660559064643743,0.72
STE MICHELLE WINE ESTATES,1270.39375,11.54903409090909,52,0.842493280650626,0.72
DIONYSOS IMPORTS INC,1185.87125,2.7013012528473803,260,0.07751434294482597,0.67
PUNTO VINO LLC,1175.47,3.0611197916666666,202,0.11042404060423722,0.66
PRESTIGE BEVERAGE GROUP OF MD LLC,1173.6225,2.1534357798165136,293,0.9624412966483985,0.66
DMV DISTRIBUTING LLC,1134.25125,4.154766483516483,139,0.5369208186484509,0.64
LANTERNA DISTRIBUTORS INC,1117.1425,2.955403439153439,221,0.09404147496673926,0.63
GRAPES OF SPAIN INC,1102.89875,5.514493750000001,94,0.14291061950061576,0.62
MARK ANTHONY BRANDS INC,1093.01375,17.07833984375,33,0.7244821712875962,0.62
BACKUP BEVERAGE,1051.2,3.6,231,0.0702054794520548,0.59
TRI-VIN IMPORTS,1025.84625,6.793683774834437,68,0.7188831502912482,0.58
LUNEAU USA INC,1014.91125,7.408111313868613,67,0.5903033365075445,0.57
SIERRA NEVADA BREWING CO,1001.0337499999999,13.347116666666667,46,0.5605082714106047,0.57
YUENGLING BREWERY,988.8874999999999,19.389950980392154,23,0.776727370002645,0.56
DOPS INC,978.915,2.887654867256637,203,0.23447516582654743,0.55
YOUNG WON TRADING INC,968.2975,4.1204148936170215,108,0.35985313514998357,0.55
CAMPARI AMERICA LLC,961.3000000000001,4.6216346153846155,87,0.851283726283376,0.54
WILLIAM GRANT AND SONS INC,954.31375,5.783719696969698,79,1.181530663963964,0.54
PROXIMO SPIRITS INC,946.28875,5.033450797872341,84,0.922046422307987,0.53
MOET HENNESSY USA,930.54625,5.112891483516483,95,0.8840590836981228,0.53
NEXTERRA WINE COMPANY,891.0,6.649253731343284,80,0.0,0.5
NEW BELGIUM BREWING INC,845.55625,12.620242537313432,33,0.48382234134774343,0.48
ARTISANS & VINES LLC,830.72,5.034666666666666,81,0.07943714006992457,0.47
PABST BREWING CO,825.675,15.878365384615384,22,0.302631367302026,0.47
DC BRAU BREWING LLC,807.7262499999999,12.238276515151513,36,0.6193938784168238,0.46
INTERBALT PRODUCTS CORP,807.3,2.2424999999999997,230,0.1267102674691001,0.46
BANVILLE & JONES WINE MERCHANTS,744.8149999999999,4.30528901734104,89,0.708065927601329,0.42
DELMAR BREWING COMPANY LLC,722.58625,8.812027439024389,43,0.3956743701316336,0.41
BARON FRANCOIS LTD,722.29625,3.375216121495327,103,0.7539337991100464,0.41
CLIPPER CITY BREWING CO,669.6162499999999,15.943244047619046,20,0.7480074653172643,0.38
LABATT USA OPERATING CO LLC,637.3375,17.703819444444445,19,0.8656727058670276,0.36
KOBRAND CORPORATION,574.2075,5.6852227722772275,49,0.8318587956127241,0.32
FRANCIS COPPOLA WINERY LLC,571.855,8.935234375,30,0.84482584650074,0.32
TROEGS BREWING COMPANY,511.335,9.296999999999999,34,0.9741906938381274,0.29
JOS VICTORI WINES,491.125,4.722355769230769,48,0.33685375695508346,0.28
LAPHAM SALES & MARKETING DBA LAPHAM,482.5625,8.6171875,28,0.7991431559569212,0.27
MHW LTD,456.89125,4.230474537037037,59,0.5539686803647582,0.26
LUXCO SPIRITED BRANDS,437.83375,3.8072500000000002,56,0.8279584305654601,0.25
IMPERO WINE DISTRIBUTORS VIRGINIA INC,434.65,3.5921487603305784,77,0.0,0.25
UNITED STATES DISTILLED PRODUCTS,413.3275,5.511033333333333,43,0.5946186876880297,0.23
AMERICAN BEVERAGE MARKETERS,404.96,9.203636363636363,19,0.991013041935391,0.23
DUCKHORN WINE COMPANY,392.72249999999997,9.133081395348837,20,0.8329805611561006,0.22
ALLAGASH BREWING COMPANY,383.3625,9.350304878048782,24,0.20662396961567786,0.22
FREDERICK WILDMAN & SONS,378.29,5.91078125,33,0.7056874775538028,0.21
BANFI PRODUCTS CORP,376.8325,5.3075,36,0.8594611423192176,0.21
REMY COINTREAU USA,374.555,4.994066666666667,35,0.9485830982518193,0.21
QUINTESSENTIAL LLC,369.23625,3.3566931818181818,55,0.4241699687708659,0.21
NORTH LOCK LLC DBA PORT CITY BREWING CO,368.64375,8.378267045454546,27,0.248903491717863,0.21
J LOHR WINERY,338.79,8.263170731707318,20,0.9320318393026964,0.19
AREL GROUP WINE & SPIRITS,336.46875,5.25732421875,26,0.5556067960262628,0.19
SAN ANTONIO WINERY INC,334.98499999999996,12.88403846153846,9,0.9311287669805295,0.19
O'NEILL BEVERAGES CO LLC,333.54,8.552307692307693,17,1.069229150176952,0.19
PALM BAY IMPORTS,314.42125,12.093124999999999,14,0.9960802621353418,0.18
BOLD ROCK PARTNERS LP,309.56374999999997,11.465324074074074,13,0.5708412574437047,0.17
VICTORY BREWING COMPANY LLC,309.15375,8.832964285714286,20,1.0472418762460527,0.17
ST KILLIAN IMPORTING CO INC,289.14,20.65285714285714,6,1.0384021738576017,0.16
ATLAS BREW WORKS LLC,283.53125,9.14616935483871,16,0.5019444794375718,0.16
PATERNO IMPORTS LTD,276.97875,5.035977272727273,24,1.3697410881059238,0.16
FREIXENET MIONETTO USA INC,274.37375,8.069816176470587,18,0.7161413101686966,0.15
JACK POUST & COMPANY INC,273.40375,6.668384146341463,20,1.6494272191568609,0.15
MASS BAY BREWING CO,267.48875,11.629945652173912,12,0.48403411638919636,0.15
THREE STARS BREWING COMPANY LLC,260.225,8.674166666666668,24,0.13686911890504705,0.15
EASTERN LIQUOR DISTRIBUTORS INC,259.48,9.61037037037037,12,1.0198489426935171,0.15
HOME BREW MART INC,257.95,13.576315789473684,9,0.6197780788389046,0.15
MACK & SCHUHLE INC,255.5,6.2317073170731705,17,0.31149055411199295,0.14
LCF WINE COMPANY LLC,239.77,6.8505714285714285,13,0.21469551676092125,0.14
GLOBAL OCEAN AND AIR CARGO SERVICES,239.2325,8.860462962962963,11,0.6272493209800042,0.14
CABERNET CORPORATION,238.73125,6.631423611111111,20,0.3080190184640401,0.13
WELL OILED WINE COMPANY LLC,235.54375,9.814322916666667,11,0.4292470363970646,0.13
STOLI GROUP (USA) LLC,230.28125,3.903072033898305,28,0.868729596652827,0.13
MICHAEL R DOWNEY SELECTIONS INC,228.085,3.258357142857143,41,0.19431013101129224,0.13
SALVETO IMPORTS LLC,227.91,3.255857142857143,48,0.13243095376603228,0.13
THE EDRINGTON GROUP USA LLC,227.13625000000002,3.605337301587302,31,1.2575990849363408,0.13
THE TRITON COLLECTION INC,226.28,5.519024390243903,15,0.7362525665414055,0.13
HUB WINE CORPORATION,212.92,3.2756923076923075,30,0.0,0.12
TRADEWINDS SPECIALTY IMPORTS LLC,209.01,2.9858571428571428,47,0.11318198921359587,0.12
CASTLE BRANDS USA CORP,204.26375,4.7503197674418605,22,1.0910423669149356,0.12
PARK STREET IMPORTS LLC,200.54125000000002,4.092678571428571,24,0.7762666179247332,0.11
FIFTH GENERATION INC,198.6875,13.245833333333334,7,0.8896492728828058,0.11
DUGGANS DISTILLERS PROD,192.875,3.383771929824561,25,0.8053483584748655,0.11
GAMBRINUS,192.16875,12.81125,8,1.0808592339131262,0.11
VIGNOBLES LVDH USA INC,183.48875,2.293609375,44,0.233287349458101,0.1
SURVILLE ENTERPRISES CORP,175.5675,5.486484375,16,1.1498635870646097,0.1
THE BROOKLYN BREWERY CORPORATION,175.015,7.292291666666666,14,0.1952907372069049,0.1
NEW PARROTT & CO,169.07375,8.898618421052632,9,1.0476394878866166,0.1
FOLEY FAMILY WINES INC,165.99375,7.217119565217391,12,1.104933112149694,0.09
VERMONT HARD CIDER COMPANY LLC,165.8625,16.58625,4,0.7960107490646413,0.09
PIPE CREEK WINES LLC,162.09,1.7243617021276596,49,0.3990401303991925,0.09
TERRAPIN BEER COMPANY,159.66875,12.282211538461537,5,0.7104124121142715,0.09
DUVEL MOORTGAT USA LTD,157.4025,5.427672413793103,20,0.10328524972799642,0.09
COASTAL BREWING COMPANY LLC,155.54,10.369333333333334,6,0.6046074187250657,0.09
C MONDAVI & SONS,148.5075,14.85075,5,0.7864937076558208,0.08
WARSTEINER IMPORTERS,148.3625,16.484722222222224,4,0.7544768539484988,0.08
BRONCO WINE COMPANY,145.91875,3.1046542553191485,28,0.2886244236121689,0.08
KLEIN FAMILY VINTNERS,142.45125,8.903203125,8,1.3284978014217312,0.08
FREE RUN WINE MERCHANTS LLC,138.0,2.262295081967213,46,0.0,0.08
BBL INC,132.38,4.727857142857142,16,0.2021864301276066,0.07
E M D SALES INC,124.56,5.415652173913044,15,0.5574876249751959,0.07
THE HESS COLLECTION,123.80499999999999,5.6274999999999995,11,1.0940842175292949,0.07
OSLO ENTERPRISE,121.81,2.485918367346939,31,0.42974376775685147,0.07
SWEETWATER BREWING COMPANY LLC,119.30625,19.884375000000002,2,0.9401555361214989,0.07
RVWC LLC,119.0,1.9508196721311475,43,0.0,0.07
IMPERO WINE DISTRIBUTORS,111.0,4.44,19,0.0,0.06
Default,107.63625,3.1657720588235296,13,0.40020976478835263,0.06
BINDING BRAUEREI USA INC,106.27,8.855833333333333,5,0.3700980392156863,0.06
POTOMAC SELECTIONS INC,105.225,4.782954545454545,18,0.18663970759779144,0.06
INTERNATIONAL CELLARS LLC,103.94,1.9988461538461537,32,0.6148923716401593,0.06
MAST-JAEGERMEISTER US INC,103.74625,6.916416666666667,9,0.7368741309947329,0.06
BASQUE BAR LLC,99.0,4.5,17,0.0,0.06
MONTEBELLO BRANDS INC,97.42500000000001,6.958928571428572,5,1.0405270072059698,0.06
WAGNER WINE COMPANY LLC,93.99875,7.8332291666666665,5,0.8038325542774745,0.05
WINE BRIDGE IMPORTS INC,93.31,2.8275757575757576,15,0.2929466014951673,0.05
KATCEF BROTHERS INC,91.965,3.9984782608695655,6,1.056397853472168,0.05
PHILLIPS FARMS LLC,88.53125,17.70625,2,0.9991445680068434,0.05
SANTA MARGHERITA USA INC,86.25874999999999,4.312937499999999,9,2.1663116892055565,0.05
PRESTIGE WINE IMPORTS,85.17875,7.743522727272727,7,0.38202815148922936,0.05
STEFANO INCORPORATED,83.86500000000001,1.9060227272727275,22,0.9510419994025597,0.05
SLIGO MILL BREWING LLC,83.46625,4.1733125,18,0.18151619249108814,0.05
VINTAGE WINE ESTATES INC,83.4625,2.454779411764706,15,1.4500044641309753,0.05
WI INC,81.91874999999999,13.653124999999998,3,0.5132591958939264,0.05
OREGON BREWING COMPANY,80.55625,20.1390625,1,0.7847916532829315,0.05
COPPER CANE LLC,78.71625,4.373125,9,0.7505352022461979,0.04
DON SEBASTIANI & SONS,77.76,4.86,6,0.47527263222239485,0.04
SAGAMORE WHISKEY LLC,76.81875,3.4917613636363636,10,1.300927303164129,0.04
NEGUS BREWING COMPANY LLC,75.68625,12.614375,3,0.8986244924006569,0.04
ASAHI BEER USA INC,74.9425,18.735625,2,3.6382591958939265,0.04
ROBERT OATLEY VINEYARDS INC,74.48,3.9200000000000004,8,0.995946628804977,0.04
HOTALING & CO LLC,73.83125,2.3816532258064513,18,0.9741478384957842,0.04
FIVE GRAPES LLC,73.77,1.4753999999999998,32,0.3125,0.04
CITIZENS BREWING LLC,73.0625,7.30625,6,1.0265183917878529,0.04
NICHE IMPORTERS,72.955,4.291470588235294,12,0.6101653526990315,0.04
MADIDUS LLC,72.15875,5.5506730769230765,7,0.6890269914593367,0.04
RUTHERFORD WINE COMPANY,70.88,10.125714285714285,4,0.3505822535673282,0.04
INFINIUM SPIRITS INC,67.6275,6.147954545454545,6,1.1633910057226944,0.04
DISARONNO INTERNATIONAL LLC,67.5575,4.503833333333334,9,1.907302232720362,0.04
FERRARI CARANO WINERY,66.19874999999999,9.456964285714283,3,2.2788699590787234,0.04
ST SUPERY INC,64.53125,8.06640625,3,0.6415739948674081,0.04
TAP26MD LLC,61.0,2.9047619047619047,14,0.0,0.03
NARRAGANSETT BREWING COMPANY,60.0,12.0,2,0.2,0.03
SERRALLES USA LLC,55.00875,2.619464285714286,8,1.6756870583463779,0.03
BITTERMILK LLC,54.34625,3.019236111111111,9,0.31889739326529837,0.03
HONIG VINEYARD AND WINERY,54.02625,9.004375,2,0.7340246858811205,0.03
RIGHT FORWARD LLC,54.0,4.5,7,0.0,0.03
WASHBURN WINE CO,53.5,1.4861111111111112,31,0.0,0.03
ROOTS RUN DEEP LLC,53.3425,4.445208333333333,6,1.4431269798824164,0.03
THE SPANISH WINE IMPORTERS LLC,52.33,3.7378571428571425,11,0.0,0.03
KING ESTATE WINERY,52.224999999999994,13.056249999999999,2,1.0265183917878529,0.03
THE WINE SOURCE INC,52.0,5.2,10,0.0,0.03
SPAINS BEST BEERS INC,51.0,8.5,2,0.0,0.03
TRUE RESPITE BREWING COMPANY LLC,50.95125,7.2787500000000005,7,0.0,0.03
FREIXENET USA,47.88,5.32,5,0.3524235863352064,0.03
VIN DIVINO LTD,46.48875,6.64125,4,0.5554543588986832,0.03
SINGHA NORTH AMERICA INC,44.6125,22.30625,1,1.0265183917878529,0.03
GOOSE RIDGE LLC,44.0,2.933333333333333,9,0.0,0.02
MACCHU PISCO LLC,43.46249999999999,10.865624999999998,2,1.2558334533196691,0.02
TRICANA SHIPPERS & IMPORT,42.08,1.315,20,0.40882745726495723,0.02
PARAGON VINEYARD CO INC,39.05,7.81,3,0.0,0.02
WESTERN SPIRITS BEVERAGE COMPANY LLC,37.0225,1.7629761904761905,13,0.3091387009559199,0.02
OHMRONE WINE AND LIQUOR LLC,37.0,5.285714285714286,5,0.0,0.02
FILIBUSTER BARRELS LLC,36.9725,3.3611363636363634,4,1.8420394109016862,0.02
BROOKEVILLE BREWING LLC,36.53125,7.30625,5,0.0,0.02
ST RICE WINE INC,36.05,18.025,1,1.3545755974694256,0.02
CARROLL CREEK WHISKEY LLC,35.629999999999995,1.8752631578947365,8,2.5140076124083284,0.02
LION NATHAN USA INC,34.83,8.7075,2,1.1161153494818707,0.02
SCHUG CARNEROS ESTATE WINERY,33.6,1.6,9,0.422827903091061,0.02
RUSSIAN STANDARD VODKA (USA) INC,33.085,4.726428571428571,3,1.1670143388378078,0.02
MCNEILL INDEPENDENT SPIRIT CREATORS LLC,31.96,2.282857142857143,6,0.9992040294378622,0.02
TAPWINES,30.0,1.875,14,0.0,0.02
HARVEST IMPORTING LLC,30.0,2.0,11,0.0,0.02
CRAFT WINE & SPIRITS OF MARYLAND LLC,29.86,1.4219047619047618,8,0.9532047419616239,0.02
ELK RUN VINEYARDS,27.240000000000002,2.0953846153846154,7,0.43270075121949314,0.02
TESTA WINES OF THE WORLD LTD,26.23,1.3805263157894736,11,0.7486388384754991,0.01
A I G WINE & SPIRITS,26.0,2.888888888888889,3,0.0,0.01
PLUME RIDGE IRREVOCABLE TRUST,25.48,3.185,5,0.125,0.01
THE RIVER WINE,25.0,1.3157894736842106,15,0.0,0.01
MOUNT DEFIANCE CIDERY & DISTILLERY LLC,24.02,1.50125,9,1.3467942407680802,0.01
JORDAN VINEYARD,22.810000000000002,3.801666666666667,3,1.7179826861676253,0.01
LAIRD AND COMPANY,22.77625,2.5306944444444444,5,1.9039310287134374,0.01
SOVEREIGN BRANDS LLC,22.598750000000003,5.649687500000001,2,0.7698887938408896,0.01
WINERY EXCHANGE INC,22.08,5.52,4,0.0,0.01
ST GEORGE SPIRITS INC,21.85,3.641666666666667,5,1.0029249565221594,0.01
PRECEPT BRANDS LLC,21.65,7.216666666666666,3,0.0,0.01
TREFETHEN VINEYARDS,21.21,1.6315384615384616,6,2.2362808264534704,0.01
GEORGIAN HOUSE OF GREATER WASHINGTON,21.07,1.7558333333333334,8,0.32951465878295144,0.01
HOUTON PURVEYORS LLC,20.0,2.857142857142857,6,0.0,0.01
LYON DISTILLING COMPANY LLC,17.44625,3.4892499999999997,4,0.2,0.01
AMERICAN BEVERAGE CORPORATION,17.41,2.901666666666667,3,0.2777777777777778,0.01
RED INK IMPORTS,16.75,0.881578947368421,12,0.0,0.01
TREANA WINERY LLC,16.32,3.2640000000000002,2,0.4878048780487805,0.01
BULLSHINE DISTILLERY LLC,15.95,0.5907407407407407,16,0.13486876231974268,0.01
CHEVAL QUANCARD,15.63,0.9194117647058824,12,0.0,0.01
CANTINIERE IMPORTS & DISTRIBUTING INC,15.08,0.9425,14,0.0,0.01
GJS SALES INC,15.0,15.0,1,0.0,0.01
PARALLEL WORLD BREWING COMPANY,14.6125,7.30625,2,0.0,0.01
DRAGON DISTILLERY LLC,14.440000000000001,1.4440000000000002,9,0.23715415019762848,0.01
CELICAR LLC DBA TWIN VALLEY DISTILLERS,13.596250000000001,1.5106944444444446,4,0.31901649548708366,0.01
FRONT PORCH MICRO WINERY LLC,13.299999999999999,0.8312499999999999,11,1.4597039473684212,0.01
NICKOLAS IMPORTS LLC,13.23,0.7782352941176471,13,0.9191176470588235,0.01
COMETE WINES LLC,13.17,1.1972727272727273,9,0.0,0.01
REGAL WINE IMPORTS INC,13.0,2.1666666666666665,5,0.0,0.01
STELLAR IMPORTING CO LLC,11.16,1.395,4,1.5829917151547752,0.01
FN CELLARS LLC,11.08,0.7914285714285715,7,0.5085236639724818,0.01
AZABU DISTILLING CO LLC,10.57,1.1744444444444444,4,2.9044908823196285,0.01
VINTAGE POINT LLC,10.24,2.048,2,0.0,0.01
TI BEVERAGE GROUP LTD,10.06,1.2575,4,1.5625,0.01
MEXCOR INTERNATIONAL,9.83625,4.918125,1,1.482213438735178,0.01
VINTURE WINE COMPANY LLC,8.0,1.6,3,0.0,0.0
TENTH HARVEST LLC,7.82,0.8688888888888889,9,0.0,0.0
ATLANTIC WINE & SPIRITS,7.32,3.66,1,0.0,0.0
CHARLES JACQUIN ET CIE INC,7.31,2.4366666666666665,2,1.25,0.0
FRUIT OF THE VINES INC,7.19,1.7975,3,0.1838235294117647,0.0
ADAMBA IMPORTS INTL,7.07,3.535,1,1.0108271790514782,0.0
EVEREST SPIRITS LLC,7.03,1.1716666666666666,2,0.6944444444444445,0.0
SOKOL BLOSSER LTD,6.84,0.9771428571428571,3,3.857142857142857,0.0
SUGARLOAF MOUNTAIN SUNLIGHT VINEYARD LLC,6.5600000000000005,0.9371428571428572,4,0.0,0.0
CHASSEUR WINE LLC,6.0,1.0,5,0.0,0.0
SAWM IMPORTS LLC,5.3100000000000005,1.3275000000000001,4,0.0,0.0
ZURENA LLC,4.5,1.5,1,0.0,0.0
FOWLES WINE USA INC,4.34,1.085,3,0.0,0.0
AMERICAN FIDELITY TRADING,4.0,1.3333333333333333,3,0.0,0.0
CROOK & MARKER LLC,4.0,1.3333333333333333,3,0.0,0.0
LEGACY PARTNERS DISTRIBUTION LLC,3.06,0.43714285714285717,4,0.0,0.0
SIDNEY-FRANK IMPORTING CO,2.85,0.7125,1,1.9656377402446126,0.0
VINTUS LLC,2.77,0.9233333333333333,1,3.9225012683916796,0.0
OCEAN CITY BREWING CO LLC,2.08,0.3466666666666667,4,0.0,0.0
WILLIAM HARRISON IMPORTS,2.0300000000000002,0.6766666666666667,1,0.0,0.0
WILLIAMS CORNER WINE,2.0,1.0,2,0.0,0.0
RSL HOLDINGS INC,2.0,2.0,1,0.0,0.0
SUGARLOAF MOUNTAIN VINEYARD LLC,1.6,0.8,1,0.0,0.0
MESOZOIC TECHNOLOGIES LLC,1.57,0.314,3,0.0,0.0
REPUBLIC RESTORATIVES,1.36,0.34,1,0.0,0.0
GROTH VINEYARDS & WINERY,1.24,0.41333333333333333,2,0.0,0.0
AIKO IMPORTERS INC,1.08,0.54,2,0.0,0.0
BREWDOG BREWING COMPANY LLC,1.0,1.0,1,0.0,0.0
MARQUEE SELECTIONS LLC,1.0,1.0,1,0.0,0.0
ALLIED IMPORTERS USA LTD,1.0,0.5,2,0.0,0.0
Z WINE GALLERY IMPORTS LLC,0.98,0.98,1,0.0,0.0
SNR HOLDINGS LLC,0.64,0.64,1,0.0,0.0
"GF WINES, LLC DBA GARY FARRELL WINERY",0.64,0.32,2,4.166666666666667,0.0
SMT AQUISITIONS LLC,0.5700000000000001,0.19000000000000003,2,0.0,0.0
THE SANDY BOTTOM ENTERPRISES LLC,0.53,0.53,1,5.660377358490566,0.0
SPLINTER GROUP NAPA LLC,0.51,0.17,2,0.0,0.0
SCHMITT SOHNE INC,0.5,0.16666666666666666,1,0.0,0.0
NOVELTY MD INC,0.44999999999999996,0.22499999999999998,1,0.0,0.0
FAR NIENTE WINERY INC,0.34,0.17,1,0.0,0.0
FLAVOR SEEKERS LLC,0.33,0.11,1,0.0,0.0
LOOK VODKA LLC,0.32,0.32,1,0.0,0.0
DANGEROUS WINE GROUP LLC,0.32,0.16,1,0.0,0.0
VINIFERA DISTRIBUTING OF MARYLAND INC,0.08,0.08,1,0.0,0.0
SMITH-ANDERSON ENTERPRISES INC,0.08,0.08,1,0.0,0.0
SCOPERTA IMPORTING COMPANY INC,0.08,0.08,1,0.0,0.0
SANGLIER SELECTIONS LLC,0.0,0.0,1,0.0,0.0
PREMIUM DISTRIBUTORS INC,0.0,0.0,1,0.0,0.0
HAMCO DC,0.0,0.0,1,0.0,0.0
KAHN PAPER COMPANY INC,0.0,0.0,5,0.0,0.0
